"Test ID","Test Name","Business Title","Feature Area","Severity","Status","Start Time","Stop Time","Duration (s)","Browser","Tags","Created At","Updated At","Monitor Status"
"API_AUTH_PLATFORM_001","Login: Platform Admin","Platform Admin","API Auth.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:06 pm","09 Jun 2026, 04:08:07 pm","0.35 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
"API_AUTH_TENANT_001","Login: Tenant Admin","Tenant Admin","API Auth.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:05 pm","09 Jun 2026, 04:08:05 pm","0.38 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
"API_BATCH_DET_001","Smoke: View advanced batch details","View advanced batch details","API Api.data.json","Normal","❌ Failed","09 Jun 2026, 04:07:59 pm","09 Jun 2026, 04:08:00 pm","0.64 s","Chromium","api.data.json","2026-06-01","2026-06-01","Normal"
"API_BULK_TMPL_001","Extended: Download Bulk Invoice Template (REPEATED_HEADER)","Download Bulk Invoice Template (REPEATED_HEADER)","API Extended.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:37 pm","09 Jun 2026, 04:08:39 pm","1.11 s","Chromium","extended.data.json","2026-06-01","2026-06-01","Normal"
"API_BULK_TMPL_002","Extended: Download Bulk Invoice Template (SINGLE_HEADER)","Download Bulk Invoice Template (SINGLE_HEADER)","API Extended.data.json","Normal","❌ Failed","09 Jun 2026, 04:08:36 pm","09 Jun 2026, 04:08:36 pm","0.29 s","Chromium","extended.data.json","2026-06-01","2026-06-01","Normal"
"API_BUYER_COMPANY_COMPANY_2_ADMIN_RESTRICTED","COMPANY_2_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:45 pm","09 Jun 2026, 04:08:45 pm","0.28 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:44 pm","09 Jun 2026, 04:08:45 pm","0.69 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:44 pm","09 Jun 2026, 04:08:45 pm","0.41 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:45 pm","09 Jun 2026, 04:08:46 pm","0.59 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:45 pm","09 Jun 2026, 04:08:45 pm","0.55 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:45 pm","09 Jun 2026, 04:08:46 pm","0.52 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:45 pm","09 Jun 2026, 04:08:45 pm","0.68 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:44 pm","09 Jun 2026, 04:08:44 pm","0.24 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:08:45 pm","09 Jun 2026, 04:08:50 pm","4.76 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:44 pm","09 Jun 2026, 04:08:45 pm","0.56 s","Chromium","","—","—","Normal"
"API_BUYER_COMPANY_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:44 pm","09 Jun 2026, 04:08:45 pm","0.32 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:41 pm","09 Jun 2026, 04:08:42 pm","0.78 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:40 pm","09 Jun 2026, 04:08:42 pm","2.39 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:39 pm","09 Jun 2026, 04:08:41 pm","2.55 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_INVALID_DATA_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 400 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:41 pm","09 Jun 2026, 04:08:42 pm","0.40 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:39 pm","09 Jun 2026, 04:08:41 pm","1.76 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:40 pm","09 Jun 2026, 04:08:41 pm","1.21 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:40 pm","09 Jun 2026, 04:08:42 pm","2.12 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_NEGATIVE_DATA_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 400 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:41 pm","09 Jun 2026, 04:08:41 pm","0.18 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:40 pm","09 Jun 2026, 04:08:41 pm","1.73 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:08:41 pm","09 Jun 2026, 04:08:46 pm","4.86 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:38 pm","09 Jun 2026, 04:08:39 pm","1.67 s","Chromium","","—","—","Normal"
"API_BUYER_CREATE_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:39 pm","09 Jun 2026, 04:08:41 pm","2.35 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_COMPANY_2_ADMIN_RESTRICTED","COMPANY_2_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:47 pm","09 Jun 2026, 04:08:47 pm","0.28 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:46 pm","09 Jun 2026, 04:08:47 pm","0.85 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:47 pm","09 Jun 2026, 04:08:48 pm","0.93 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:48 pm","09 Jun 2026, 04:08:49 pm","0.67 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:46 pm","09 Jun 2026, 04:08:47 pm","0.94 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:47 pm","09 Jun 2026, 04:08:47 pm","0.27 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:46 pm","09 Jun 2026, 04:08:47 pm","0.51 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:45 pm","09 Jun 2026, 04:08:46 pm","0.38 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:08:47 pm","09 Jun 2026, 04:08:52 pm","5.29 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:46 pm","09 Jun 2026, 04:08:46 pm","0.72 s","Chromium","","—","—","Normal"
"API_BUYER_GET_BY_ID_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:46 pm","09 Jun 2026, 04:08:46 pm","0.59 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_COMPANY_2_ADMIN_RESTRICTED","COMPANY_2_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:44 pm","0.54 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:44 pm","0.39 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:44 pm","0.78 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:44 pm","09 Jun 2026, 04:08:44 pm","0.53 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:44 pm","0.69 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:44 pm","09 Jun 2026, 04:08:44 pm","0.57 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:44 pm","0.62 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:43 pm","0.51 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:08:44 pm","09 Jun 2026, 04:08:48 pm","4.55 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:43 pm","0.70 s","Chromium","","—","—","Normal"
"API_BUYER_LIST_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:43 pm","0.61 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_COMPANY_2_ADMIN_RESTRICTED","COMPANY_2_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:42 pm","09 Jun 2026, 04:08:43 pm","0.56 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:42 pm","09 Jun 2026, 04:08:43 pm","0.66 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:42 pm","09 Jun 2026, 04:08:43 pm","0.67 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:43 pm","0.72 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:42 pm","09 Jun 2026, 04:08:43 pm","0.66 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:43 pm","09 Jun 2026, 04:08:43 pm","0.59 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:42 pm","09 Jun 2026, 04:08:43 pm","0.67 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:41 pm","09 Jun 2026, 04:08:42 pm","0.50 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:08:42 pm","09 Jun 2026, 04:08:47 pm","4.65 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:41 pm","09 Jun 2026, 04:08:42 pm","0.62 s","Chromium","","—","—","Normal"
"API_BUYER_SEARCH_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:42 pm","09 Jun 2026, 04:08:42 pm","0.73 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:49 pm","09 Jun 2026, 04:08:50 pm","0.78 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:50 pm","09 Jun 2026, 04:08:50 pm","0.52 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:51 pm","09 Jun 2026, 04:08:51 pm","0.24 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:50 pm","09 Jun 2026, 04:08:51 pm","0.97 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:50 pm","09 Jun 2026, 04:08:50 pm","0.24 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:51 pm","09 Jun 2026, 04:08:52 pm","0.99 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:49 pm","09 Jun 2026, 04:08:50 pm","0.60 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:08:50 pm","09 Jun 2026, 04:08:55 pm","4.65 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:49 pm","09 Jun 2026, 04:08:50 pm","0.71 s","Chromium","","—","—","Normal"
"API_BUYER_STATUS_PATCH_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:50 pm","09 Jun 2026, 04:08:51 pm","0.81 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_COMPANY_2_ADMIN_RESTRICTED","COMPANY_2_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:49 pm","09 Jun 2026, 04:08:49 pm","0.32 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:48 pm","09 Jun 2026, 04:08:48 pm","0.63 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:49 pm","09 Jun 2026, 04:08:50 pm","0.81 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:49 pm","09 Jun 2026, 04:08:49 pm","0.27 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:48 pm","09 Jun 2026, 04:08:49 pm","0.54 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:08:49 pm","09 Jun 2026, 04:08:49 pm","0.25 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:48 pm","09 Jun 2026, 04:08:49 pm","0.98 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:47 pm","09 Jun 2026, 04:08:48 pm","0.60 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:08:49 pm","09 Jun 2026, 04:08:54 pm","5.04 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:47 pm","09 Jun 2026, 04:08:48 pm","0.43 s","Chromium","","—","—","Normal"
"API_BUYER_TEMPLATE_GET_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:48 pm","09 Jun 2026, 04:08:48 pm","0.45 s","Chromium","","—","—","Normal"
"API_BUYER_UPDATE_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:08:51 pm","09 Jun 2026, 04:08:52 pm","0.64 s","Chromium","","—","—","Normal"
